Country,year,gdp,pp,carbonpercapital
Australia,1952,11824,8595064,7.0042
Australia,1953,11963,8782177,6.7676
Australia,1954,12419,8970121,7.5627
Australia,1955,12795,9165700,7.7107
Australia,1956,12924,9371781,7.7925
Australia,1957,12895,9587459,7.7723
Australia,1958,13238,9808595,7.9123
Australia,1959,13753,10028799,8.3468
Australia,1960,14013,10242070,8.6036
Australia,1961,13793,10445836,8.6641
Australia,1962,14389,10643420,8.9091
Australia,1963,14983,10845179,9.3068
Australia,1964,15699,11065419,9.8393
Australia,1965,16182,11313186,10.6825
Australia,1966,16324,11593402,10.3696
Australia,1967,17108,11899644,10.8528
Australia,1968,17770,12215704,11.0102
Australia,1969,18428,12518931,11.3527
Australia,1970,19166,12793030,11.5281
Australia,1971,19590,13033130,11.7109
Australia,1972,19772,13244163,11.8797
Australia,1973,20527,13431790,12.7183
Australia,1974,20698,13605574,12.656
Australia,1975,20993,13773290,12.7578
Australia,1976,21613,13935722,12.4915
Australia,1977,21592,14092545,13.3126
Australia,1978,21948,14249403,14.1637
Australia,1979,22826,14413002,14.2146
Australia,1980,22972,14588400,15.1173
Australia,1981,23368,14777241,15.574
Australia,1982,22972,14979203,15.6148
Australia,1983,22697,15194644,14.7942
Australia,1984,24009,15423156,15.3257
Australia,1985,24927,15663672,15.3858
Australia,1986,25116,15917580,15.0609
Australia,1987,25971,16183159,15.8104
Australia,1988,26702,16452258,15.8575
Australia,1989,27407,16713989,16.6029
Australia,1990,27373,16960600,16.4714
Australia,1991,26861.27539,17189235,16.3981
Australia,1992,27560.17773,17402179,16.4538
Australia,1993,28622.47656,17603211,16.5495
Australia,1994,29844.17188,17798526,16.8601
Australia,1995,30690.0625,17993083,17.1189
Australia,1996,31740.46875,18189274,17.3911
Australia,1997,32857.99219,18387205,17.7901
Australia,1998,34337.14063,18587027,18.2222
Australia,1999,35551.01953,18788187,18.4477
Australia,2000,36603.04688,18991434,18.5252
Australia,2001,37275.99219,19194676,18.7789
Australia,2002,38567.06641,19401366,18.922
Australia,2003,39523.65625,19624163,19.0191
Australia,2004,40887.72656,19879654,19.4554
Australia,2005,41904.44531,20178543,19.2086
Australia,2006,42650.98438,20526300,19.3554
Australia,2007,44033.58203,20916339,19.2159
Australia,2008,44421.64063,21332293,19.2034
Australia,2009,44686.54297,21750852,18.4508
Australia,2010,45400.22266,22154687,18.2595
Australia,2011,46132,22538002,17.9849
Australia,2012,46999,22903951,17.5806
Australia,2013,47250,23254912,16.907
Australia,2014,47867,23596426,16.9201
Australia,2015,48357,23932499,16.8507
Australia,2016,48845,24262710,17.1434
Australia,2017,49265.61328,24584619,16.8704
Australia,2018,49830.80078,24898153,16.7081
Australia,2019,,25203200,
Australia,2020,,25499881,
Bangladesh,1952,874,39489861,0.0328
Bangladesh,1953,872,40292411,0.0327
Bangladesh,1954,872,41149830,0.0325
Bangladesh,1955,810,42086305,0.0328
Bangladesh,1956,878,43113922,0.0379
Bangladesh,1957,845,44233217,0.0382
Bangladesh,1958,813,45434542,0.0417
Bangladesh,1959,838,46700569,0.0394
Bangladesh,1960,869,48013505,0.0461
Bangladesh,1961,899,49362834,0.0464
Bangladesh,1962,877,50752150,0.0496
Bangladesh,1963,947,52202008,0.0554
Bangladesh,1964,939,53741721,0.0554
Bangladesh,1965,969,55385114,0.0564
Bangladesh,1966,963,57157651,0.0556
Bangladesh,1967,921,59034250,0.0571
Bangladesh,1968,987,60918452,0.0635
Bangladesh,1969,980,62679765,0.0598
Bangladesh,1970,1004,64232486,0.0592
Bangladesh,1971,934,65531635,0.055
Bangladesh,1972,807,66625706,0.0526
Bangladesh,1973,792,67637541,0.0673
Bangladesh,1974,872,68742222,0.0677
Bangladesh,1975,843,70066310,0.0693
Bangladesh,1976,862,71652386,0.0775
Bangladesh,1977,843,73463593,0.0787
Bangladesh,1978,878,75450033,0.0793
Bangladesh,1979,894,77529040,0.0853
Bangladesh,1980,875,79639498,0.0954
Bangladesh,1981,878,81767516,0.0964
Bangladesh,1982,869,83932132,0.1019
Bangladesh,1983,891,86142490,0.0951
Bangladesh,1984,918,88416529,0.1027
Bangladesh,1985,925,90764180,0.1123
Bangladesh,1986,944,93187593,0.1224
Bangladesh,1987,960,95671159,0.1233
Bangladesh,1988,964,98186350,0.1373
Bangladesh,1989,966,100695496,0.1329
Bangladesh,1990,1006,103171957,0.1365
Bangladesh,1991,1031.429932,105599125,0.1396
Bangladesh,1992,1062.460449,107983708,0.1424
Bangladesh,1993,1095.656372,110350641,0.1456
Bangladesh,1994,1136.418457,112737684,0.1556
Bangladesh,1995,1182.951416,115169933,0.1827
Bangladesh,1996,1234.084106,117649927,0.1827
Bangladesh,1997,1291.512573,120160571,0.1925
Bangladesh,1998,1348.149902,122682818,0.1891
Bangladesh,1999,1412.981323,125189655,0.2003
Bangladesh,2000,1485.309204,127657862,0.2078
Bangladesh,2001,1551.196533,130088709,0.2386
Bangladesh,2002,1621.266968,132478076,0.2414
Bangladesh,2003,1710.731445,134791598,0.2482
Bangladesh,2004,1812.624756,136986429,0.2624
Bangladesh,2005,1925.606201,139035505,0.271
Bangladesh,2006,2057.698486,140921154,0.2958
Bangladesh,2007,2194.422363,142660381,0.2989
Bangladesh,2008,2321.050537,144304164,0.3139
Bangladesh,2009,2448.886963,145924795,0.3368
Bangladesh,2010,2599.208496,147575433,0.3659
Bangladesh,2011,2772,149273134,0.3789
Bangladesh,2012,2914,151005733,0.4019
Bangladesh,2013,3057,152761413,0.4044
Bangladesh,2014,3217,154517385,0.427
Bangladesh,2015,3402,156256287,0.469
Bangladesh,2016,3604,157977151,0.4841
Bangladesh,2017,3837.050293,159685421,0.5069
Bangladesh,2018,4099.25293,161376713,0.5118
Bangladesh,2019,,,
Bangladesh,2020,,,
Belgium,1952,9035,8727988,9.5628
Belgium,1953,9274,8779267,9.3828
Belgium,1954,9610,8832697,9.7065
Belgium,1955,10010,8887275,10.3538
Belgium,1956,10237,8942408,10.8226
Belgium,1957,10353,8997845,10.7234
Belgium,1958,10268,9053640,9.6851
Belgium,1959,10533,9110067,9.6937
Belgium,1960,11081,9167361,9.9165
Belgium,1961,11561,9225414,10.0481
Belgium,1962,12087,9283545,10.5583
Belgium,1963,12532,9340419,11.3139
Belgium,1964,13295,9394300,11.0231
Belgium,1965,13643,9443948,11.1533
Belgium,1966,13989,9488759,11.0759
Belgium,1967,14461,9529046,11.2667
Belgium,1968,15009,9565591,12.3816
Belgium,1969,15969,9599651,12.8642
Belgium,1970,16914,9632179,13.0283
Belgium,1971,17486,9663323,12.5599
Belgium,1972,18336,9692845,13.4777
Belgium,1973,19399,9720750,14.2622
Belgium,1974,20153,9747023,13.8453
Belgium,1975,19831,9771582,12.4671
Belgium,1976,20916,9794771,13.2395
Belgium,1977,21025,9816693,12.8556
Belgium,1978,21605,9836812,13.7697
Belgium,1979,22094,9854372,14.1852
Belgium,1980,23060,9868999,13.6626
Belgium,1981,22760,9880594,12.5067
Belgium,1982,23071,9889819,11.8407
Belgium,1983,23071,9897877,10.2246
Belgium,1984,23644,9906370,10.5959
Belgium,1985,23873,9916577,10.4879
Belgium,1986,24221,9928539,10.3104
Belgium,1987,24772,9942281,10.3184
Belgium,1988,25905,9959011,10.0153
Belgium,1989,26690,9980175,10.7004
Belgium,1990,27412,10006545,12.0229
Belgium,1991,27848.30469,10039450,12.2894
Belgium,1992,28199.57422,10078098,12.1556
Belgium,1993,27857.25,10118684,12.0014
